Script,Description
activities.py, "Use frame associated states to label activities in a video."
download_temporary_files.py, "Download temporary files."
localizations.py, "Create, filter, update, and delete localizations in a video."
location_query.py, "Gather a specific set of media using the distance attribute filter."
make_file_summary.py, "Create a summary report of localization and state counts for media residing in a particular section. Last user session duration is also obtained in this example."
make_summary.py, "Create a summary report of localizations in a section(s) and create thumbnails of the localizations"
setup_project.py, "Create a project, video type, image type, box type, line type, and dot type. Each type has an example of every attribute type definition."
tracks.py, "Use localization associated states to create tracks in a video."
upload_media.py, "Upload individual videos or images to a project."
upload_media_archive.py, "Upload multiple videos or images to a project."
upload_temporary_files.py, "Upload temporary files."
video_clips.py, "Retrieve video clips from a video."
video_frames.py, "Get video frames from a video."
